Date,Open,High,Low,Close,Volume
1984-06-01,1.35095477104187,1.3629100543871249,1.35095477104187,1.35095477104187,7340000
1984-06-04,1.35095477104187,1.3629100543871249,1.35095477104187,1.35095477104187,4067000
1984-06-05,1.350954788113563,1.350954788113563,1.3389993906021118,1.3389993906021118,2089000
1984-06-06,1.410731315612793,1.4346419926879044,1.410731315612793,1.410731315612793,1894000
1984-06-07,1.5661509037017822,1.57810618535452,1.5661509037017822,1.5661509037017822,2078000
1984-06-08,1.66179358959198,1.685704380591083,1.66179358959198,1.66179358959198,2227000
1984-06-11,1.5781058376870498,1.5781058376870498,1.5541951656341553,1.5541951656341553,1219000
1984-06-12,1.5541956588595978,1.5541956588595978,1.5422402620315552,1.5422402620315552,670000
1984-06-13,1.6139721870422363,1.6259275821819217,1.6139721870422363,1.6139721870422363,1339000
1984-06-14,1.5900615810223606,1.5900615810223606,1.5661509037017822,1.5661509037017822,680000
1984-06-15,1.6139721870422363,1.6259275821819217,1.6139721870422363,1.6139721870422363,704000
1984-06-18,1.66179358959198,1.6737489850915317,1.66179358959198,1.66179358959198,480000
1984-06-19,1.781347632408142,1.793303031557916,1.781347632408142,1.781347632408142,1581000
1984-06-20,1.9726331233978271,1.984588521266894,1.9726331233978271,1.9726331233978271,2273000
1984-06-21,1.9726327966682011,1.9726327966682011,1.948722004890442,1.948722004890442,2039000
1984-06-22,2.1639184951782227,2.175873891334388,2.1639184951782227,2.1639184951782227,1199000
1984-06-25,2.151963610131538,2.151963610131538,2.1400082111358643,2.1400082111358643,1579000
1984-06-26,2.19978404045105,2.2117394343508727,2.19978404045105,2.19978404045105,1040000
1984-06-27,2.151963610131538,2.151963610131538,2.1400082111358643,2.1400082111358643,1046000
1984-06-28,2.247605800628662,2.2595611967232196,2.247605800628662,2.247605800628662,563000
1984-06-29,2.4269356727600098,2.4508464611540717,2.4269356727600098,2.4269356727600098,1019000
1984-07-02,2.391069677760179,2.391069677760179,2.367158889770508,2.367158889770508,940000
1984-07-03,2.414980888366699,2.438891452510498,2.414980888366699,2.414980888366699,339000
1984-07-05,2.534534454345703,2.5464896226910256,2.534534454345703,2.534534454345703,1428000
1984-07-06,2.5225783713317687,2.5225783713317687,2.510622978210449,2.510622978210449,728000
1984-07-09,2.4867122536758193,2.4867122536758193,2.462801694869995,2.462801694869995,963000
1984-07-10,2.414981263498913,2.414981263498913,2.4030258655548096,2.4030258655548096,1938000
1984-07-11,2.307382010805255,2.307382010805255,2.295426845550537,2.295426845550537,980000
1984-07-12,2.2356510162353516,2.2356510162353516,2.2356510162353516,2.2356510162353516,1021000
1984-07-13,2.259561061859131,2.2715164572401187,2.259561061859131,2.259561061859131,223000
1984-07-16,2.1878290594603387,2.1878290594603387,2.1639184951782227,2.1639184951782227,473000
1984-07-17,2.2356510162353516,2.2476061863513803,2.2356510162353516,2.2356510162353516,350000
1984-07-18,2.235650434786061,2.247605601792783,2.2236950397491455,2.2236950397491455,150000
1984-07-19,2.008499173830538,2.008499173830538,1.9965440034866333,1.9965440034866333,761000
1984-07-20,1.853079128931436,1.853079128931436,1.8172130584716797,1.8172130584716797,723000
