method,score,day1_low,day1_price,day1_high,day5_low,day5_price,day5_high,day10_low,day10_price,day10_high,day20_low,day20_price,day20_high,day30_low,day30_price,day30_high,bias,current_close
spearman,0.39961985819758583,928.5812719254033,965.9427955305712,992.6077121771702,747.8843205033498,929.9394505296634,1083.0121588805735,682.8591972097473,874.3410394419354,1124.6081126791098,734.5530054593419,881.426327879594,1185.6738398909897,610.2663377130679,934.8255019961861,1252.1204422547844,BULLISH,971.0
pearson,0.3602988024348725,927.281570272628,971.0,986.0428253562084,821.7324589516543,941.0571484696347,1075.5822858527874,704.5813867725878,879.1485505198333,1103.1884829159624,727.4504509185525,877.8903682627066,1113.823613730348,710.651635041338,934.3584009494095,1115.8742587991428,BULLISH,971.0
cosine,0.3205091861733511,925.2386960533179,971.7614571927475,986.2081579797007,848.0734922135838,954.378181303253,1063.6865940183468,777.1427320540256,877.7581130590158,1038.6759585070772,785.4926528950764,903.8721320997718,1148.2894627561827,822.8531311464828,956.5924991133228,1215.2214397248313,BULLISH,971.0
euclidean,0.0502964005835373,932.5135700860899,971.0,1002.4934256203888,842.9962862483163,965.5419559366344,1046.6921079295769,798.4694176416415,943.257073699692,1068.3686748944824,795.1083582686099,872.1661315091346,1176.207888690248,689.3159740793001,923.4588687574434,1212.8377162849085,CHOPPY,971.0
kendall,0.27326702564551303,929.140256652648,971.0,992.0552567911956,876.7806166232873,956.7204814480541,998.4811444839278,874.8658861905635,999.5588235294119,1061.0062005036928,733.4086332598828,865.072879304844,1145.6351149454638,689.5599730892977,919.8949849277299,1171.3382056240703,BEARISH,971.0
manhattan,0.00533837184256517,932.5135700860899,965.2881066468901,986.7250399198851,867.8501973122428,954.4558941394461,1042.5012338471433,790.6986109829448,928.5450236137019,1066.2164029578319,678.5791164693708,893.1914370204879,1156.5037018451349,675.5853672252957,924.6086356550298,1186.6368652744025,BULLISH,971.0
xgboost,,949.9142456054688,1004.8936157226562,1011.0614013671875,935.0349731445312,1021.4347534179688,1034.117431640625,984.2426147460938,1088.148681640625,1099.93505859375,924.47412109375,1478.3912353515625,1506.0343017578125,985.851806640625,1738.0369873046875,1769.2794189453125,BULLISH,971.0
lightgbm,,948.3139257849655,982.8683778380697,1012.1930900701786,868.5366883396807,943.8073099917073,1005.3606094132515,971.5982091104185,1088.9022083644593,1132.979519273395,1013.0952514908527,1219.95054508332,1222.7085437853568,1007.4483916286606,1161.9688206142137,1279.5752789695237,BULLISH,971.0
randomforest,,942.793073293066,973.6979270461377,1003.3738478301954,875.9215149402525,946.7600599516068,1020.3179347445273,967.6228013482861,1074.2546506396993,1108.200046281783,865.271367428104,1009.1356602546535,1612.1047384085011,901.2160207464498,1072.1621497156748,1836.192015741044,BULLISH,971.0
